Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
B202,263,251,28,2,2,25
B203,344,173,15,0,8,21
B204,196,126,15,1,3,12
B205,372,237,25,1,4,17
B206,272,206,25,0,0,12
B207,258,253,25,0,10,12
B208,253,147,12,1,2,14
B209,273,200,20,0,2,17
B210,283,303,31,1,5,15
B211,178,276,33,1,11,16
B212,262,217,26,0,5,20
B213,167,115,10,0,5,2
B215,297,180,21,2,6,9
B216,275,189,19,0,5,12
B217,136,88,17,0,3,6
B218,277,199,24,0,1,15
B219,245,166,29,0,2,5
B221,248,169,11,0,3,8
B222,257,224,18,0,5,11
B223,289,187,21,0,3,13
B224,378,258,18,0,1,19
B225,258,230,19,0,7,13
B226,249,179,26,0,4,13
B227,226,202,29,0,4,4
B228,96,112,5,0,2,3
B229,141,236,27,1,5,10
B230,58,98,11,0,0,1
B231,365,381,33,1,13,17
B232,323,246,16,1,2,9
C102,95,120,17,0,1,1
C103,131,361,18,1,6,9
C105,110,407,33,1,22,8
C109,221,131,11,0,3,8
C113,162,358,22,0,5,13
C114,221,203,25,2,2,7
C115,60,226,8,0,13,5
C118,246,162,13,0,6,9
C120,168,311,22,0,4,13
C121,74,145,8,1,2,0
C124,149,348,11,0,7,8
C125,349,192,16,1,3,12
C126,135,239,21,1,6,12
C127,198,233,18,1,6,7
C128,104,308,23,2,13,9
C129,113,134,18,0,4,2
C130,143,206,17,0,4,5
C132,152,300,16,0,10,7
C137,249,180,8,0,2,4
C138,118,387,11,2,16,11
C140,107,542,14,0,11,11
C142,141,479,19,3,14,17
C143,128,255,10,1,7,12
C144,99,341,18,0,6,5
C148,130,203,13,0,9,7
C150,101,220,16,0,4,4
C151,100,160,11,1,7,3
C152,371,213,13,1,5,11
C153,204,150,14,0,5,5
C154,197,110,10,0,5,8
C155,149,141,5,0,1,3
C156,185,248,24,0,8,6
C157,100,254,25,1,13,5
C159,137,172,16,0,4,6
C160,195,96,2,0,1,10
C161,142,178,18,2,8,8
C162,159,306,22,0,7,9
C163,280,133,15,0,3,4
C164,301,259,22,1,8,17
C165,177,306,23,0,3,13
C167,197,310,25,0,10,5
C170,121,181,14,1,6,3
C171,156,221,13,1,7,3
C173,279,244,13,0,8,12
C174,206,257,29,0,11,5
C175,211,233,20,0,4,17
C176,255,259,29,0,3,9
C177,226,272,30,2,9,11
C178,187,156,23,0,1,11
C179,144,222,19,0,7,10
C180,392,254,22,0,4,22
C182,239,195,22,0,4,17
C183,69,187,9,1,3,7
C184,70,75,9,0,0,1
C185,98,53,5,1,3,1
C186,180,275,29,0,6,15
C187,275,158,22,0,1,9
C188,163,170,11,0,2,6
C189,94,278,16,1,3,5
C190,228,270,27,1,6,7
C191,212,304,34,0,15,10
C192,271,183,10,0,4,7
C193,194,115,10,0,1,3
C194,264,212,19,1,2,9
C195,202,234,10,0,6,6
C196,150,220,23,0,6,13
C197,124,136,11,1,5,7
C198,134,185,12,0,4,8
C199,191,164,16,0,1,9
C200,290,195,22,1,3,11
C201,184,116,9,0,2,3
C203,276,234,26,0,3,16
C205,183,251,22,1,5,4
C207,203,310,25,0,9,13
C208,263,118,12,1,0,11
C209,289,256,17,0,5,8
C210,309,183,17,0,1,18
C211,169,200,8,1,9,4
C212,191,249,19,2,8,7
C213,118,148,10,0,6,2
C215,181,158,19,0,4,12
C216,120,129,9,0,2,7
C217,262,220,28,1,1,11
C218,260,201,13,0,3,5
